Id,Ordinal,Level,IsStock,ManufacturerID,MassDiff,Price,FrontBrakeSize,FrontBrakeSizeMM,FrontBrakeRotorThicknessMM,FrontBrakeDrumDepthMM,FrontBrakeNonSpinningMass,FrontBrakeTypeID,FrontCaliperPistons,RearBrakeSize,RearBrakeSizeMM,RearBrakeRotorThicknessMM,RearBrakeDrumDepthMM,RearBrakeNonSpinningMass,RearBrakeTypeID,RearCaliperPistons,GameFrictionScaleBraking,BrakeTorqueSlider,BrakeBiasSlider,BiasHandbrake,ReleasePointABS,FrontBrakeTorqueClamp,RearBrakeTorqueClamp,DamageModDefID,RequiresGraphics,BrakesProfileID
247000,247,0,1,0,0.0,0,10,279.0,28.0,35.0,5.0,2,2,10,267.0,28.0,35.0,4.0,2,2,0.975,0.5,0.5,1.0,0.71,250.0,250.0,7,1,11
247001,247,1,0,255,-2.0,650,10,279.0,28.0,35.0,5.0,2,2,10,267.0,28.0,35.0,4.0,2,2,1.0,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
247002,247,2,0,255,-4.0,1300,11,304.4,28.0,35.0,4.0,4,4,11,292.4,28.0,35.0,4.0,4,2,1.175,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
247003,247,3,0,255,-5.0,1950,12,329.8,28.0,35.0,4.0,5,6,12,317.8,28.0,35.0,4.0,5,4,1.365,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
249000,249,0,1,0,0.0,0,12,314.0,32.0,50.0,5.0,2,2,11,298.0,28.0,35.0,4.0,2,2,0.985,0.5,0.5,1.0,0.71,250.0,250.0,7,1,9
249001,249,1,0,142,-2.0,650,12,314.0,32.0,50.0,5.0,2,2,11,298.0,28.0,35.0,4.0,2,2,1.01,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
249002,249,2,0,142,-4.0,1300,13,339.4,32.0,50.0,4.0,4,4,12,323.4,28.0,35.0,4.0,4,2,1.185,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
249003,249,3,0,142,-5.0,1950,14,364.8,32.0,50.0,4.0,5,6,13,348.8,28.0,35.0,4.0,5,4,1.375,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
251000,251,0,1,0,0.0,0,10,260.0,28.0,35.0,5.0,1,2,10,260.0,28.0,35.0,4.0,1,2,0.925,0.5,0.5,1.0,0.71,250.0,250.0,7,1,11
251001,251,1,0,25,-2.0,650,10,260.0,28.0,35.0,5.0,1,2,10,260.0,28.0,35.0,4.0,1,2,0.95,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
251002,251,2,0,25,-4.0,1300,11,285.4,28.0,35.0,4.0,4,4,11,285.4,28.0,35.0,4.0,4,2,1.17,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
251003,251,3,0,25,-5.0,1950,12,310.8,28.0,35.0,4.0,5,6,12,310.8,28.0,35.0,4.0,5,4,1.36,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
253000,253,1,1,0,0.0,0,11,300.0,32.0,50.0,5.0,2,4,12,310.0,32.0,50.0,4.0,2,4,1.03,0.5,0.5,1.0,0.71,250.0,250.0,7,1,2
253002,253,2,0,142,-2.0,1300,12,325.4,32.0,50.0,4.0,4,4,13,335.4,32.0,50.0,4.0,4,4,1.21,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
253003,253,3,0,142,-4.0,1950,13,350.8,32.0,50.0,4.0,5,6,14,360.8,32.0,50.0,4.0,5,4,1.375,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
257000,257,1,1,0,0.0,0,12,330.0,32.0,50.0,5.0,3,4,12,310.0,32.0,50.0,4.0,3,4,1.09,0.5,0.5,1.0,0.71,250.0,250.0,7,1,2
257002,257,2,0,142,-2.0,1300,13,355.4,32.0,50.0,4.0,4,4,13,335.4,32.0,50.0,4.0,4,4,1.215,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
257003,257,3,0,142,-4.0,1950,14,380.8,32.0,50.0,4.0,5,6,14,360.8,32.0,50.0,4.0,5,4,1.385,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
260000,260,0,1,0,0.0,0,8,228.0,25.0,25.0,5.0,2,2,9,244.0,25.0,25.0,4.0,2,2,0.965,0.5,0.5,1.0,0.71,250.0,250.0,7,1,9
260001,260,1,0,238,-2.0,650,8,228.0,25.0,25.0,5.0,2,2,9,244.0,25.0,25.0,4.0,2,2,0.99,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
260002,260,2,0,238,-4.0,1300,9,253.4,25.0,25.0,4.0,4,4,10,269.4,25.0,25.0,4.0,4,2,1.165,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
260003,260,3,0,238,-5.0,1950,10,278.8,25.0,25.0,4.0,5,6,11,294.8,25.0,25.0,4.0,5,4,1.355,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
261000,261,2,1,0,0.0,0,12,322.0,32.0,50.0,4.0,3,6,12,322.0,32.0,50.0,4.0,3,4,1.12,0.5,0.5,1.0,0.71,250.0,250.0,7,1,2
261003,261,3,0,238,-2.0,1950,14,372.8,32.0,50.0,4.0,5,6,14,372.8,32.0,50.0,4.0,5,4,1.38,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
262000,262,2,1,0,0.0,0,13,350.0,35.0,65.0,4.0,3,6,12,330.0,32.0,50.0,4.0,3,4,1.125,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
262003,262,3,0,238,-2.0,1950,15,400.8,35.0,65.0,4.0,5,6,14,380.8,32.0,50.0,4.0,5,4,1.39,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
265000,265,1,1,0,0.0,0,11,304.0,32.0,50.0,5.0,3,4,12,309.0,32.0,50.0,4.0,3,4,1.09,0.5,0.5,1.0,0.71,250.0,250.0,7,1,2
265002,265,2,0,238,-2.0,1300,12,329.4,32.0,50.0,4.0,4,4,13,334.4,32.0,50.0,4.0,4,4,1.21,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
265003,265,3,0,238,-4.0,1950,13,354.8,32.0,50.0,4.0,5,6,14,359.8,32.0,50.0,4.0,5,4,1.38,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
266000,266,0,1,0,0.0,0,11,282.0,28.0,35.0,5.0,2,2,11,285.0,28.0,35.0,4.0,2,2,0.985,0.5,0.5,1.0,0.71,250.0,250.0,7,1,10
266001,266,1,0,238,-2.0,650,11,282.0,28.0,35.0,5.0,2,2,11,285.0,28.0,35.0,4.0,2,2,1.01,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
266002,266,2,0,238,-4.0,1300,12,307.4,28.0,35.0,4.0,4,4,12,310.4,28.0,35.0,4.0,4,2,1.18,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
266003,266,3,0,238,-5.0,1950,13,332.8,28.0,35.0,4.0,5,6,13,335.8,28.0,35.0,4.0,5,4,1.37,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
268000,268,1,1,0,0.0,0,11,304.0,32.0,50.0,5.0,2,4,11,299.0,28.0,35.0,4.0,2,4,1.03,0.5,0.5,1.0,0.71,250.0,250.0,7,1,7
268002,268,2,0,238,-2.0,1300,12,329.4,32.0,50.0,4.0,4,4,12,324.4,28.0,35.0,4.0,4,4,1.21,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
268003,268,3,0,238,-4.0,1950,13,354.8,32.0,50.0,4.0,5,6,13,349.8,28.0,35.0,4.0,5,4,1.375,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
269000,269,2,1,0,0.0,0,12,322.0,32.0,50.0,4.0,3,4,11,304.0,32.0,50.0,4.0,3,4,1.115,0.5,0.5,1.0,0.71,250.0,250.0,7,1,2
269003,269,3,0,238,-2.0,1950,14,372.8,32.0,50.0,4.0,5,6,13,354.8,32.0,50.0,4.0,5,4,1.38,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
