Id,DrivetrainID,Level,IsStock,ManufacturerID,MassDiff,Price,FrontLimitedSlipTorqueAccel,FrontLimitedSlipTorqueDecel,FrontLimitedSlipRelVelClamp,FrontLimitedSlipAccelDefInputTorque,RearLimitedSlipTorqueAccel,RearLimitedSlipTorqueDecel,RearLimitedSlipRelVelClamp,RearLimitedSlipAccelDefInputTorque,CenterLimitedSlipTorqueAccel,CenterLimitedSlipTorqueDecel,CenterLimitedSlipRelVelClamp,CenterLimitedSlipAccelDefInputTorque,RearToqueSplit,TCProfileID,DifferentialProfileID
1000,1,1,1,0,0.0,0,0.0,0.0,0.0,0.0,0.2,0.075,15.0,0.2,0.0,0.0,0.0,0.0,1.0,7,7
1002,1,2,0,255,0.0,1500,0.0,0.0,0.0,0.0,0.35,0.15,15.0,0.2,0.0,0.0,0.0,0.0,1.0,2,2
1003,1,3,0,255,0.0,2250,0.0,0.0,0.0,0.0,0.2,0.35,15.0,0.2,0.0,0.0,0.0,0.0,1.0,3,3
1005,1,5,0,255,0.0,2500,0.0,0.0,0.0,0.0,0.55,0.125,15.0,0.2,0.0,0.0,0.0,0.0,0.6,4,4
1006,1,6,0,255,0.0,2500,0.0,0.0,0.0,0.0,0.825,0.025,15.0,0.2,0.0,0.0,0.0,0.0,0.8,5,5
1007,1,7,0,255,0.0,2500,1.0,1.0,0.0,0.0,1.0,1.0,15.0,0.2,1.0,1.0,0.0,0.0,0.5,6,6
3000,3,1,1,0,0.0,0,0.0,0.0,0.0,0.0,0.325,0.125,40.0,0.4,0.0,0.0,0.0,0.0,1.0,7,1
3002,3,2,0,142,0.0,1500,0.0,0.0,0.0,0.0,0.4,0.2,40.0,0.4,0.0,0.0,0.0,0.0,1.0,2,2
3003,3,3,0,142,0.0,2250,0.0,0.0,0.0,0.0,0.2,0.4,40.0,0.4,0.0,0.0,0.0,0.0,1.0,3,3
3005,3,5,0,142,0.0,2500,0.0,0.0,0.0,0.0,0.575,0.15,40.0,0.4,0.0,0.0,0.0,0.0,0.6,4,4
3006,3,6,0,142,0.0,2500,0.0,0.0,0.0,0.0,0.85,0.05,40.0,0.4,0.0,0.0,0.0,0.0,0.8,5,5
3007,3,7,0,142,0.0,2500,1.0,1.0,0.0,0.0,1.0,1.0,40.0,0.4,1.0,1.0,0.0,0.0,0.5,6,6
4000,4,1,1,0,0.0,0,0.0,0.0,0.0,0.0,0.2,0.075,15.0,0.2,0.0,0.0,0.0,0.0,1.0,7,7
4002,4,2,0,25,0.0,1500,0.0,0.0,0.0,0.0,0.35,0.15,15.0,0.2,0.0,0.0,0.0,0.0,1.0,2,2
4003,4,3,0,25,0.0,2250,0.0,0.0,0.0,0.0,0.2,0.35,15.0,0.2,0.0,0.0,0.0,0.0,1.0,3,3
4005,4,5,0,25,0.0,2500,0.0,0.0,0.0,0.0,0.575,0.125,15.0,0.2,0.0,0.0,0.0,0.0,0.6,4,4
4006,4,6,0,25,0.0,2500,0.0,0.0,0.0,0.0,0.825,0.025,15.0,0.2,0.0,0.0,0.0,0.0,0.8,5,5
4007,4,7,0,25,0.0,2500,1.0,1.0,0.0,0.0,1.0,1.0,15.0,0.2,1.0,1.0,0.0,0.0,0.5,6,6
6000,6,1,1,0,0.0,0,0.0,0.0,0.0,0.0,0.4,0.175,75.0,0.5,0.0,0.0,0.0,0.0,1.0,1,2
6002,6,2,0,142,0.0,1500,0.0,0.0,0.0,0.0,0.45,0.2,75.0,0.5,0.0,0.0,0.0,0.0,1.0,2,2
6003,6,3,0,142,0.0,2250,0.0,0.0,0.0,0.0,0.225,0.4,75.0,0.5,0.0,0.0,0.0,0.0,1.0,3,3
6005,6,5,0,142,0.0,2500,0.0,0.0,0.0,0.0,0.6,0.15,75.0,0.5,0.0,0.0,0.0,0.0,0.6,4,4
6006,6,6,0,142,0.0,2500,0.0,0.0,0.0,0.0,0.85,0.05,75.0,0.5,0.0,0.0,0.0,0.0,0.8,5,5
6007,6,7,0,142,0.0,2500,1.0,1.0,0.0,0.0,1.0,1.0,75.0,0.5,1.0,1.0,0.0,0.0,0.5,6,6
10000,10,1,1,0,0.0,0,0.0,0.0,0.0,0.0,0.45,0.2,90.0,0.6,0.0,0.0,0.0,0.0,1.0,1,2
10002,10,2,0,142,0.0,1500,0.0,0.0,0.0,0.0,0.525,0.25,90.0,0.6,0.0,0.0,0.0,0.0,1.0,2,2
10003,10,3,0,142,0.0,2250,0.0,0.0,0.0,0.0,0.25,0.45,90.0,0.6,0.0,0.0,0.0,0.0,1.0,3,3
10005,10,5,0,142,0.0,2500,0.0,0.0,0.0,0.0,0.65,0.15,90.0,0.6,0.0,0.0,0.0,0.0,0.6,4,4
10006,10,6,0,142,0.0,2500,0.0,0.0,0.0,0.0,0.875,0.075,90.0,0.6,0.0,0.0,0.0,0.0,0.8,5,5
10007,10,7,0,142,0.0,2500,1.0,1.0,0.0,0.0,1.0,1.0,90.0,0.6,1.0,1.0,0.0,0.0,0.5,6,6
13000,13,1,1,0,0.0,0,0.0,0.0,0.0,0.0,0.325,0.125,40.0,0.4,0.0,0.0,0.0,0.0,1.0,7,1
13002,13,2,0,238,0.0,1500,0.0,0.0,0.0,0.0,0.425,0.175,40.0,0.4,0.0,0.0,0.0,0.0,1.0,2,2
13003,13,3,0,238,0.0,2250,0.0,0.0,0.0,0.0,0.225,0.375,40.0,0.4,0.0,0.0,0.0,0.0,1.0,3,3
13005,13,5,0,238,0.0,2500,0.0,0.0,0.0,0.0,0.6,0.125,40.0,0.4,0.0,0.0,0.0,0.0,0.6,4,4
13006,13,6,0,238,0.0,2500,0.0,0.0,0.0,0.0,0.85,0.05,40.0,0.4,0.0,0.0,0.0,0.0,0.8,5,5
13007,13,7,0,238,0.0,2500,1.0,1.0,0.0,0.0,1.0,1.0,40.0,0.4,1.0,1.0,0.0,0.0,0.5,6,6
14000,14,1,1,0,0.0,0,0.0,0.0,0.0,0.0,0.5,0.2,90.0,0.6,0.0,0.0,0.0,0.0,1.0,1,2
14002,14,2,0,238,0.0,1500,0.0,0.0,0.0,0.0,0.575,0.225,90.0,0.6,0.0,0.0,0.0,0.0,1.0,2,2
14003,14,3,0,238,0.0,2250,0.0,0.0,0.0,0.0,0.3,0.4,90.0,0.6,0.0,0.0,0.0,0.0,1.0,3,3
14005,14,5,0,238,0.0,2500,0.0,0.0,0.0,0.0,0.7,0.125,90.0,0.6,0.0,0.0,0.0,0.0,0.6,4,4
14006,14,6,0,238,0.0,2500,0.0,0.0,0.0,0.0,0.9,0.05,90.0,0.6,0.0,0.0,0.0,0.0,0.8,5,5
14007,14,7,0,238,0.0,2500,1.0,1.0,0.0,0.0,1.0,1.0,90.0,0.6,1.0,1.0,0.0,0.0,0.5,6,6
15000,15,1,1,0,0.0,0,0.0,0.0,0.0,0.0,0.45,0.175,90.0,0.6,0.0,0.0,0.0,0.0,1.0,1,2
15002,15,2,0,238,0.0,1500,0.0,0.0,0.0,0.0,0.5,0.2,90.0,0.6,0.0,0.0,0.0,0.0,1.0,2,2
15003,15,3,0,238,0.0,2250,0.0,0.0,0.0,0.0,0.225,0.375,90.0,0.6,0.0,0.0,0.0,0.0,1.0,3,3
15005,15,5,0,238,0.0,2500,0.0,0.0,0.0,0.0,0.6,0.125,90.0,0.6,0.0,0.0,0.0,0.0,0.6,4,4
15006,15,6,0,238,0.0,2500,0.0,0.0,0.0,0.0,0.85,0.05,90.0,0.6,0.0,0.0,0.0,0.0,0.8,5,5
15007,15,7,0,238,0.0,2500,1.0,1.0,0.0,0.0,1.0,1.0,90.0,0.6,1.0,1.0,0.0,0.0,0.5,6,6
18000,18,1,1,0,0.0,0,0.0,0.0,0.0,0.0,0.4,0.15,75.0,0.5,0.0,0.0,0.0,0.0,1.0,7,2
18002,18,2,0,238,0.0,1500,0.0,0.0,0.0,0.0,0.45,0.175,75.0,0.5,0.0,0.0,0.0,0.0,1.0,2,2
18003,18,3,0,238,0.0,2250,0.0,0.0,0.0,0.0,0.225,0.325,75.0,0.5,0.0,0.0,0.0,0.0,1.0,3,3
18005,18,5,0,238,0.0,2500,0.0,0.0,0.0,0.0,0.6,0.125,75.0,0.5,0.0,0.0,0.0,0.0,0.6,4,4
18006,18,6,0,238,0.0,2500,0.0,0.0,0.0,0.0,0.85,0.025,75.0,0.5,0.0,0.0,0.0,0.0,0.8,5,5
18007,18,7,0,238,0.0,2500,1.0,1.0,0.0,0.0,1.0,1.0,75.0,0.5,1.0,1.0,0.0,0.0,0.5,6,6
19000,19,1,1,0,0.0,0,0.0,0.0,0.0,0.0,0.25,0.075,30.0,0.4,0.0,0.0,0.0,0.0,1.0,7,7
19002,19,2,0,238,0.0,1500,0.0,0.0,0.0,0.0,0.4,0.175,30.0,0.4,0.0,0.0,0.0,0.0,1.0,2,2
19003,19,3,0,238,0.0,2250,0.0,0.0,0.0,0.0,0.2,0.35,30.0,0.4,0.0,0.0,0.0,0.0,1.0,3,3
19005,19,5,0,238,0.0,2500,0.0,0.0,0.0,0.0,0.575,0.125,30.0,0.4,0.0,0.0,0.0,0.0,0.6,4,4
19006,19,6,0,238,0.0,2500,0.0,0.0,0.0,0.0,0.825,0.025,30.0,0.4,0.0,0.0,0.0,0.0,0.8,5,5
19007,19,7,0,238,0.0,2500,1.0,1.0,0.0,0.0,1.0,1.0,30.0,0.4,1.0,1.0,0.0,0.0,0.5,6,6
21000,21,1,1,0,0.0,0,0.0,0.0,0.0,0.0,0.375,0.15,75.0,0.5,0.0,0.0,0.0,0.0,1.0,1,2
