Id,DrivetrainID,Level,IsStock,ManufacturerID,MassDiff,Price,MomentInertia,GearShiftTime,FinalDriveRatio,NumGears,GearRatio0,GearRatio1,GearRatio2,GearRatio3,GearRatio4,GearRatio5,GearRatio6,GearRatio7,GearRatio8,CVTShiftTime,GearRatio9,GearRatio10
1000,1,0,1,0,0.0,0,0.0144,0.22,4.38,6,-3.168,3.41,1.64,1.18,1.0,0.84,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1001,1,1,0,0,0.0,800,0.0129,0.22,3.48,6,-3.168,2.89,1.99,1.49,1.16,0.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1002,1,2,0,0,0.0,1600,0.0115,0.16,3.48,6,-3.168,2.89,1.99,1.49,1.16,0.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1003,1,3,0,0,0.0,2400,0.0101,0.02,3.68,7,-3.168,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
1004,1,7,0,0,4.0,3000,0.0101,0.02,3.6788,8,-3.168,4.15,2.69,1.9,1.42,1.12,0.95,0.8,-1.0,-1.0,-1.0,-1.0
1005,1,8,0,0,6.0,3000,0.0101,0.02,3.2701,9,-3.168,4.17,2.95,2.2,1.71,1.38,1.17,1.02,0.9,-1.0,-1.0,-1.0
1006,1,9,0,0,8.0,3000,0.0101,0.02,3.8221,10,-3.168,4.17,2.9,2.15,1.66,1.34,1.13,0.98,0.86,-1.0,0.77,-1.0
1007,1,10,0,0,10.0,3000,0.0101,0.02,4.0876,11,-3.168,4.17,2.73,1.94,1.49,1.21,1.04,0.92,0.84,-1.0,0.78,0.72
3000,3,0,1,0,0.0,0,0.0114,0.28,3.4,6,-3.218,2.935,1.975,1.45,1.17,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3002,3,2,0,0,0.0,1600,0.0091,0.16,3.4,6,-3.218,2.935,1.975,1.45,1.17,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3003,3,3,0,0,0.0,2400,0.008,0.02,4.25,7,-3.218,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
3004,3,7,0,0,4.0,3000,0.008,0.02,4.7105,8,-3.218,4.15,2.69,1.9,1.42,1.12,0.95,0.8,-1.0,-1.0,-1.0,-1.0
3005,3,8,0,0,6.0,3000,0.008,0.02,4.1871,9,-3.218,4.17,2.95,2.2,1.71,1.38,1.17,1.02,0.9,-1.0,-1.0,-1.0
3006,3,9,0,0,8.0,3000,0.008,0.02,4.894,10,-3.218,4.17,2.9,2.15,1.66,1.34,1.13,0.98,0.86,-1.0,0.77,-1.0
3007,3,10,0,0,10.0,3000,0.008,0.02,5.2338,11,-3.218,4.17,2.73,1.94,1.49,1.21,1.04,0.92,0.84,-1.0,0.78,0.72
4000,4,0,1,0,0.0,0,0.0129,0.28,3.64,5,-2.73,3.34,1.97,1.38,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4001,4,1,0,0,0.0,800,0.0116,0.28,3.18,6,-2.73,2.89,1.99,1.49,1.16,0.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4002,4,2,0,0,0.0,1600,0.0103,0.16,3.18,6,-2.73,2.89,1.99,1.49,1.16,0.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4003,4,3,0,0,0.0,2400,0.009,0.02,3.36,7,-2.73,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
4004,4,7,0,0,6.0,3000,0.009,0.02,3.3612,8,-2.73,4.15,2.69,1.9,1.42,1.12,0.95,0.8,-1.0,-1.0,-1.0,-1.0
4005,4,8,0,0,8.0,3000,0.009,0.02,2.9878,9,-2.73,4.17,2.95,2.2,1.71,1.38,1.17,1.02,0.9,-1.0,-1.0,-1.0
4006,4,9,0,0,10.0,3000,0.009,0.02,3.4922,10,-2.73,4.17,2.9,2.15,1.66,1.34,1.13,0.98,0.86,-1.0,0.77,-1.0
4007,4,10,0,0,12.0,3000,0.009,0.02,3.7347,11,-2.73,4.17,2.73,1.94,1.49,1.21,1.04,0.92,0.84,-1.0,0.78,0.72
6000,6,0,1,0,0.0,0,0.0102,0.08,4.197,7,-2.8,3.066,2.157,1.608,1.269,1.034,0.861,-1.0,-1.0,-1.0,-1.0,-1.0
6002,6,2,0,0,0.0,1600,0.0082,0.08,4.2,7,-2.8,3.066,2.157,1.608,1.269,1.034,0.861,-1.0,-1.0,-1.0,-1.0,-1.0
6003,6,3,0,0,0.0,2400,0.0072,0.02,4.52,7,-2.8,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
6004,6,7,0,0,2.0,3000,0.0072,0.02,4.3114,8,-2.8,4.15,2.69,1.9,1.42,1.12,0.95,0.8,-1.0,-1.0,-1.0,-1.0
6005,6,8,0,0,4.0,3000,0.0072,0.02,3.8323,9,-2.8,4.17,2.95,2.2,1.71,1.38,1.17,1.02,0.9,-1.0,-1.0,-1.0
6006,6,9,0,0,6.0,3000,0.0072,0.02,4.4793,10,-2.8,4.17,2.9,2.15,1.66,1.34,1.13,0.98,0.86,-1.0,0.77,-1.0
6007,6,10,0,0,8.0,3000,0.0072,0.02,4.7904,11,-2.8,4.17,2.73,1.94,1.49,1.21,1.04,0.92,0.84,-1.0,0.78,0.72
10000,10,0,1,0,0.0,0,0.0116,0.08,3.909,7,-2.384,3.153,2.176,1.565,1.185,0.935,0.757,-1.0,-1.0,-1.0,-1.0,-1.0
10002,10,2,0,0,0.0,1600,0.0093,0.08,3.91,7,-2.384,3.153,2.176,1.565,1.185,0.935,0.757,-1.0,-1.0,-1.0,-1.0,-1.0
10003,10,3,0,0,0.0,2400,0.0081,0.02,3.7,7,-2.384,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
10004,10,7,0,0,2.0,3000,0.0081,0.02,3.8245,8,-2.384,4.15,2.69,1.9,1.42,1.12,0.95,0.8,-1.0,-1.0,-1.0,-1.0
10005,10,8,0,0,4.0,3000,0.0081,0.02,3.3996,9,-2.384,4.17,2.95,2.2,1.71,1.38,1.17,1.02,0.9,-1.0,-1.0,-1.0
10006,10,9,0,0,6.0,3000,0.0081,0.02,3.9735,10,-2.384,4.17,2.9,2.15,1.66,1.34,1.13,0.98,0.86,-1.0,0.77,-1.0
10007,10,10,0,0,8.0,3000,0.0081,0.02,4.2495,11,-2.384,4.17,2.73,1.94,1.49,1.21,1.04,0.92,0.84,-1.0,0.78,0.72
