Id,Ordinal,Level,EngineID,IsStock,ManufacturerID,Price,MassDiff,WeightDistDiff,DragScale,WindInstabilityScale
247000,247,0,1,1,49,0,0.0,0.0,1.0,1.0
247001,247,1,2154,0,49,28000,-31.0,-0.008,1.0,1.0
247002,247,2,136,0,49,10000,7.0,0.002,1.0,1.0
247003,247,3,2262,0,49,20000,39.0,0.01,1.0,1.0
247004,247,4,70,0,49,35000,119.0,0.031,1.0,1.0
249000,249,0,3,1,13,0,0.0,0.0,1.0,1.0
249001,249,1,7,0,13,30000,-5.0,-0.001,1.0,1.0
249002,249,2,579,0,13,46000,22.0,0.006,1.0,1.0
251000,251,0,5,1,28,0,0.0,0.0,1.0,1.0
251001,251,1,2154,0,28,28000,-111.0,-0.025,1.0,1.0
251002,251,2,136,0,28,10000,-73.0,-0.016,1.0,1.0
251003,251,3,960,0,28,25000,-45.0,-0.01,1.0,1.0
251004,251,4,2838,0,28,40000,-16.0,-0.004,1.0,1.0
253000,253,0,7,1,13,0,0.0,0.0,1.0,1.0
253001,253,1,579,0,13,46000,27.0,-0.006,1.0,1.0
253002,253,2,2292,0,13,40000,40.0,-0.008,1.0,1.0
257000,257,0,11,1,13,0,0.0,0.0,1.0,1.0
257001,257,1,87,0,13,55000,-30.0,-0.005,1.0,1.0
257002,257,2,468,0,13,50000,-126.0,-0.022,1.0,1.0
260000,260,0,14,1,39,0,0.0,0.0,1.0,1.0
260001,260,1,118,0,39,15000,-50.0,0.013,1.0,1.0
260002,260,2,2154,0,39,28000,-60.0,0.016,1.0,1.0
260003,260,3,2658,0,39,34000,35.0,-0.009,1.0,1.0
261000,261,0,15,1,39,0,0.0,0.0,1.0,1.0
261001,261,1,2658,0,39,34000,-7.0,0.002,1.0,1.0
262000,262,0,16,1,39,0,0.0,0.0,1.0,1.0
262001,262,1,2658,0,39,34000,35.0,-0.007,1.0,1.0
265000,265,0,19,1,39,0,0.0,0.0,1.0,1.0
265001,265,1,15,0,39,40000,-21.0,0.005,1.0,1.0
265002,265,2,2658,0,39,34000,-28.0,0.006,1.0,1.0
266000,266,0,20,1,39,0,0.0,0.0,1.0,1.0
266001,266,1,118,0,39,15000,-44.0,0.013,1.0,1.0
266002,266,2,19,0,39,75000,69.0,-0.021,1.0,1.0
266003,266,3,2846,0,39,28000,-54.0,0.016,1.0,1.0
266004,266,4,2658,0,39,34000,41.0,-0.012,1.0,1.0
268000,268,0,22,1,39,0,0.0,0.0,1.0,1.0
268001,268,1,2154,0,39,28000,-70.0,-0.015,1.0,1.0
268002,268,2,136,0,39,10000,-32.0,-0.007,1.0,1.0
268003,268,3,2838,0,39,40000,25.0,0.005,1.0,1.0
269000,269,0,23,1,39,0,0.0,0.0,1.0,1.0
269001,269,1,2658,0,39,34000,-40.0,0.008,1.0,1.0
269002,269,2,2420,0,39,60000,-25.0,0.005,1.0,1.0
289000,289,0,43,1,9,0,0.0,0.0,1.0,1.0
289001,289,1,2262,0,9,20000,-61.0,-0.011,1.0,1.0
289002,289,2,3608,0,9,20000,188.0,0.035,1.0,1.0
289003,289,3,1022,0,9,25000,-28.3,-0.005,1.0,1.0
289004,289,4,50,0,9,50000,19.0,0.004,1.0,1.0
