fullname,nickname,year,make,model,specialAccess,dlcPack,rewardOrGift,directAccess,carValue,rarity,feBoost,carType,spec,class,pi,speed,handling,acceleration,launch,braking,offroad,hp,torque,weight,weightPerHp,weightDistribution,displ,aspiration,engineType,cylinders,enginePlacement,drive,rTireWidth,trackWidth,aeroorkitOptions,engineConversions(hp),pirwd,piawd,aspirationOptions,naturallyAspirated,region,country,modelFamily,openTop,doors,steering,wheels,nolights,carThemes,zeroToSixty,zeroToHundred,quarterMile,topSpeed,sixtyToZeroFeet,hundredToZeroFeet,gAtSixty,gAtHundred,sixtyToHundred,forzaDebut,unknown,latestgame,newtoForza,fh5,fh4,fm7,fh3,fm6,fh2,fm5,fh1,fm4,fm3,fm2,fm1,titlesCount,xboxgen
2017 Abarth 124 Spider,Abarth 124 '17,2017,Abarth,124 Spider,,,,,43500,Rare,,Modern Sports Cars,Factory,C,577,6,5.9,5.6,7.6,5.4,,186,184,2477,13.32,54,1368,T,Inline,4,F,RWD,205,Both,Forza,300,577,583,none,eng,Europe,Italy,,Yes,2,L,4,,SS,6.7,18.8,15.1,143.4,170.8,412.2,0.87,0.88,12.1,,10,FH4,FM7,,FH4,DLC,,,,,,,,,,2,XBO
2016 Abarth 695 Biposto,Abarth 695 '16,2016,Abarth,695 Biposto,,,,,48000,Rare,,Hot Hatch,Factory,B,607,5.7,6.3,5.9,7.5,6.4,,186,183,2198,11.82,64,1368,T,Inline,4,F,FWD,215,Both,Forza,300,628,628,none,no,Europe,Italy,,,3,L,4,,,5.8,16.9,14.95,136,144.3,362,0.89,0.93,11.1,,8,FH4,FM6,,FH4,FM7,FH3,DLC,,,,,,,,4,XBO
2013 Abarth Punto Supersport,Abarth Punto,2013,Abarth,Punto Supersport,,,,,,,,Modern Hot Hatch,Factory,D,363,5,4.6,6.5,,4.5,,177,199,2612,14.76,60,,T,Inline,4,F,FWD,,,,,,,,eng,Europe,Italy,,,3,L,4,,,7.519,18.637,14.95,135.8,146.2,327.4,1.09,1.05,11.118,,6,FM7,FM5,,,FM7,,FM6,FH2,DLC,,,,,,4,XBO
2010 Abarth 500 esseesse,Fiat Abarth 500,2010,Abarth,500 esseesse,,,,,,,,Hot Hatch,Factory,C,563,5,5.8,6.4,6.7,5.9,,158,169,2050,12.97,65,1368,T,Inline,4,F,FWD,,,,,,,,eng,Europe,Italy,,,3,L,4,,,7.417,20.719,,136.4,153.5,393.5,0.8,0.79,13.302,5/27/2009,3,FH3,FM3,,,,FH3,FM6,FH2,FM5,FH1,FM4,FM3,,,7,XBO
1980 Abarth Fiat 131,Abarth 131,1980,Abarth,Fiat 131,,,,,38000,Rare,,Classic Rally,Factory,D,449,5.5,4.7,5.5,7.1,4.5,,140,130,2161,15.44,54,1995,NA,Inline,4,F,RWD,185,Both,Rally,"321, 300",449,462,"T, CS",stock,Europe,Italy,,,2,L,4,,,8.2,24,15.3,129.1,195.6,486,0.77,0.76,15.8,,3,FH4,FM3,,FH4,FM7,FH3,FM6,FH2,DLC,,FM4,DLC,,,8,XBO
1968 Abarth 595 esseesse,Abarth 595 '68,1968,Abarth,595 esseesse,,,,,35000,Common,,Cult Cars,Factory,D,100,3.9,4,3.7,4.9,4,,28,34,1257,44.89,42,594,NA,Inline,2,R,RWD,125,Both,Forza,"158, 196, 300",100,100,CS,stock,Europe,Italy,,,2,R,4,,"DvG, mm",28.25,na,21.383,74.2,201,na,0.69,0.68,na,10/23/2012,5,FH4,FH1,,FH4,FM7,FH3,FM6,DLC,,FH1,,,,,6,XBO
2017 Acura NSX,Acura NSX '17,2017,Acura,NSX,Autoshow,,,,170000,Rare,,Modern Supercars,Factory,S1,831,7,7,9.2,10,7.1,4.7,573,623,3803,6.64,42,3493,TT,V,6,M,AWD,305,Both,Forza,none,,,none,no,N. America,U.S.,NSX,,2,L,4,,,2.716,6.4,10.517,193.4,87.1,218.8,1.1,1.2,3.684,,9,FH5,FH3,FH5,FH4,FM7,DLC,,,,,,,,,4,XBO
2017 Acura NSX Forza Edition,,2017,Acura,NSX Forza Edition,,,,,,,,Sport GT,Upgraded,S,773,6.8,5.9,8.8,,6,,577,623,3801,6.59,42,,TT,V,6,M,AWD,,,,,,,,eng,N. America,U.S.,NSX,,2,L,4,,,2.7,6.4,,184.1,128.4,298.6,1.27,1.32,3.7,10/3/2017,10,FM7,FM7,,,FE,,,,,,,,,,1,XBO
2010 Acura TSX V6,,2010,Acura,TSX V6,,,,,,,,Sedan,Factory,C,375,,,,,,,280,354,3664,13.09,,3500,,V,6,F,FWD,,,,,,,,,N. America,U.S.,,,4,L,4,,,6.1,,,170.2,,,,,,,3,FM4,FM3,,,,,,,,,FM4,DLC,,,2,360
2009 Acura #66 de Ferran Motorsports ARX-02a,,2009,Acura,#66 de Ferran Motorsports ARX-02a,,,,,,,,P1 Racing,Race,R1,990,,,,,,,625,375,1984,3.17,,,,,8,M,RWD,,,,,,,,,N. America,U.S.,,Yes,2,R,4,,,2.8,,,211.1,,,,,,5/27/2009,3,FM4,FM3,,,,,,,,,FM4,FM3,,,2,360
2009 Acura #66 de Ferran Motorsports Jim Hall Tribute ARX-02a,,2009,Acura,#66 de Ferran Motorsports Jim Hall Tribute ARX-02a,,,,,,,,P1 Racing,Livery,R1,989,,,,,,,625,375,1984,3.17,,4000,NA,V,8,M,RWD,,,,,,,,,N. America,U.S.,,Yes,2,R,4,,,2.8,,,211.1,,,,,,5/13/2011,4,FM4,FM4,,,,,,,,,FM4,,,,1,360
2008 Acura #15 Lowe's Fernandez ARX-01b,,2008,Acura,#15 Lowe's Fernandez ARX-01b,,,,,,,,P2,Race,R1,954,,,,,,,510,284,1764,3.46,,,,,8,M,RWD,,,,,,,,,N. America,U.S.,,Yes,2,R,4,,,3.1,,,195.9,,,,,,5/27/2009,3,FM4,FM3,,,,,,,,,FM4,FM3,,,2,360
2008 Acura #26 Andretti-Green Racing ARX-01b,,2008,Acura,#26 Andretti-Green Racing ARX-01b,,,,,,,,P2,Livery,R1,954,,,,,,,510,284,1764,3.46,,,,,8,M,RWD,,,,,,,,,N. America,U.S.,,Yes,2,R,4,,,3.1,,,195.9,,,,,,5/27/2009,3,FM4,FM3,,,,,,,,,FM4,FM3,,,2,360
2008 Acura #66 de Ferran Motorsports ARX-01b,,2008,Acura,#66 de Ferran Motorsports ARX-01b,,,,,,,,P2,Livery,R1,954,,,,,,,510,284,1764,3.46,,,,,8,M,RWD,,,,,,,,,N. America,U.S.,,Yes,2,R,4,,,3.1,,,195.9,,,,,,5/27/2009,3,FM4,FM3,,,,,,,,,FM4,FM3,,,2,360
